a	$1$	$u+x+1$	$u^2$	$u^2+1$	$u^3$	$u^4$	$e^u$	sinu
$ 3x + t $	1.31e-02	7.00e-03	4.15e-01	9.85e-02	3.99e-01	4.16e-01	2.29e-01	8.98e-01
$ 2x ^ 2 + t $	6.56e-02	5.93e-02	2.06e+01	1.35e-01	4.00e-01	4.00e-01	-nan(ind)	3.26e-01
$ x ^ 3 + t $	5.14e-02	4.32e-02	8.69e+00	6.26e-02	1.82e-01	1.45e-01	1.64e-01	9.94e-02
$ x ^ 4 + t $	5.82e-02	4.68e-02	5.63e+00	9.83e-02	1.50e-01	2.15e-01	-nan(ind)	1.06e-01
$ e^x + t $	3.49e-02	2.85e-02	1.54e+01	6.12e-02	6.12e-01	9.52e-01	1.81e-01	4.49e+00
$ 3x + t $	1.31e-02	7.00e-03	4.15e-01	9.85e-02	3.99e-01	4.16e-01	2.29e-01	8.98e-01
$ 3x + t ^ 2 $	2.62e-02	8.75e-03	9.31e-02	9.87e-02	9.78e-02	9.40e-02	1.72e-01	7.20e-01
$ 3x + t ^ 3 $	3.94e-02	1.05e-02	6.31e-02	9.93e-02	1.04e-01	1.72e-01	1.72e-01	7.19e+00
$ 3x + e ^ t $	3.57e-02	1.00e-02	5.22e-01	9.88e-02	4.75e-01	4.81e-01	1.40e-01	2.01e+00
$ 3x + sin(t) $	7.09e-03	6.20e-03	4.47e-01	9.84e-02	2.22e-01	4.08e-01	2.29e-01	2.58e-01
$ e^x + t ^ 2 $	4.80e-02	3.11e-02	1.60e+01	6.09e-02	2.96e-01	9.51e-01	1.79e-01	1.79e-01
$ e^x + t ^ 3 $	6.12e-02	3.38e-02	1.61e+01	6.02e-02	2.91e-01	9.44e-01	1.76e-01	7.88e-01
$ e^x + e ^ t $	5.75e-02	3.30e-02	7.94e+00	6.08e-02	1.35e+01	9.45e-01	1.79e-01	2.34e+00
$ e^x + sin(t) $	2.89e-02	2.73e-02	1.54e+01	6.14e-02	6.13e-01	9.54e-01	1.82e-01	2.42e-01
